Titel;Englisch;Definition;Quelle;Gesamter Inhalt;Url
sporadisches Auftreten;(sporadic occurrence);Vereinzeltes Auftreten einer Krankheit (z.B. Infektionskrankheit) ohne zeitlichen und räumlichen Zusammenhang.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Vereinzeltes Auftreten einer Krankheit (z.B. Infektionskrankheit) ohne zeitlichen und räumlichen Zusammenhang.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=418
Standardabweichung SD;(standard deviation);Errechnet sich als Quadratwurzel aus der Varianz.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Errechnet sich als Quadratwurzel aus der Varianz.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=420
Standardizierung;(standardization);Vereinheitlichung von Methoden und Verfahrensweisen.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Vereinheitlichung von Methoden und Verfahrensweisen.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=421
Standardtherapie;(standard therapy);Juristisch: Therapie, die bereits gegen die betreffende Krankheit zugelassen, d.h. erprobt und gesicherten ist.Eine klare und eindeutige Umschreibung von Standardtherapie existiert nicht. In der Rechtsprechung und Literatur wird die Standardtherapie in der Regel als die Vorgehensweise, die dem aktuell geltenden Stand des Wissens entspricht umschrieben. Standardtherapie bedeutet für diese Richtlinien jede Behandlung, die sich auf aktuell gültige, von den massgebenden Fachkreisen anerkannte Empfehlungen stützt.;Quelle: Eidgenössisches Departement des Inneren (2006): Bundesgesetz über die Forschung am Menschen (Humanforschungsgesetz, HFG). Erläuternder Bericht zum Vorentwurf. Hg. v. EDI. Bundeshaus. Bern.SAMW (2013): Abgrenzung von Standardtherapie und experimenteller Therapie Medizin-ethische Richtlinien und Empfehlungen der SAMW Entwurf zur Vernehmlassung, Fassung vom 29. November 2013.;"Juristisch:
Therapie, die bereits gegen die betreffende Krankheit zugelassen, d.h. erprobt und gesicherten ist.Eine klare und eindeutige Umschreibung von Standardtherapie existiert nicht. In der Rechtsprechung und Literatur wird die Standardtherapie in der Regel als die Vorgehensweise, die dem aktuell geltenden Stand des Wissens entspricht umschrieben. Standardtherapie bedeutet für diese Richtlinien jede Behandlung, die sich auf aktuell gültige, von den massgebenden Fachkreisen anerkannte Empfehlungen stützt.
Quelle: Eidgenössisches Departement des Inneren (2006): Bundesgesetz über die Forschung am Menschen (Humanforschungsgesetz, HFG). Erläuternder Bericht zum Vorentwurf. Hg. v. EDI. Bundeshaus. Bern.SAMW (2013): Abgrenzung von Standardtherapie und experimenteller Therapie Medizin-ethische Richtlinien und Empfehlungen der SAMW Entwurf zur Vernehmlassung, Fassung vom 29. November 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=423
Statistische Signifikanz;(statistical significance);"Als signifikant gilt ein Resultat, wenn die errechnete Wahrscheinlichkeit, dass es zufällig zustande gekommen ist, eine bestimmte Grenze unterschreitet; in klinischen Studien meist 5% oder 0,05. ";Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103. ;"Als signifikant gilt ein Resultat, wenn die errechnete Wahrscheinlichkeit, dass es zufällig zustande gekommen ist, eine bestimmte Grenze unterschreitet; in klinischen Studien meist 5% oder 0,05. 
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=427
Stellenvertretende Einwilligung;(consent by proxy);Juristisch: Nachträgliche oder stellvertretende Einwilligung. Sobald die betroffene Person wieder dazu in der Lage ist, ist sie hinreichend über das Forschungsprojekt aufzuklären. Sie kann anschliessend ihre Einwilligung erteilen oder verweigern. Verweigert die betroffene Person die nachträgliche Einwilligung, so dürfen das biologische Material und die Daten nicht länger für das Forschungsprojekt verwendet werden.;Quelle: Art. 31 HFG;"Juristisch:
Nachträgliche oder stellvertretende Einwilligung. Sobald die betroffene Person wieder dazu in der Lage ist, ist sie hinreichend über das Forschungsprojekt aufzuklären. Sie kann anschliessend ihre Einwilligung erteilen oder verweigern. Verweigert die betroffene Person die nachträgliche Einwilligung, so dürfen das biologische Material und die Daten nicht länger für das Forschungsprojekt verwendet werden.
Quelle: Art. 31 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=428
Sterbeziffer;(mortality rate);Zahl der in eine Jahr verstorbenen Einwohner eines Gebietes dividiert durch die durchschnittliche Bevölkerung in demselben Gebiet und Jahr x 1000.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Zahl der in eine Jahr verstorbenen Einwohner eines Gebietes dividiert durch die durchschnittliche Bevölkerung in demselben Gebiet und Jahr x 1000.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=429
Stichprobengrösse;(sample size);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=377
Strafgesetzbuch StGB;(criminal code, penal code);Erlass, in dem die wesentlichen Rechtssätze des Strafrechts zusammengefasst sind.;Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.;"Erlass, in dem die wesentlichen Rechtssätze des Strafrechts zusammengefasst sind.
Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=431
Studiendesign;(study design);Der methodologische Aufbau einer Studie.;Quelle: Horten-Zentrum (2013): Glossar. Online verfügbar unter http://www.evimed.ch/glossar/index.php.;"Der methodologische Aufbau einer Studie.
Quelle: Horten-Zentrum (2013): Glossar. Online verfügbar unter http://www.evimed.ch/glossar/index.php.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=434
Studienfinanzierung;(research funding);Juristisch: Die Verantwortung der Finanzierung wird vom Sponsor übernommen: Person oder Institution mit Sitz oder Vertretung in der Schweiz, die für die Veranlassung eines klinischen Versuchs, namentlich für dessen Einleitung, Management und Finanzierung in der Schweiz die Verantwortung übernimmt.;Quelle: Art. 2. KlinV;"Juristisch:
Die Verantwortung der Finanzierung wird vom Sponsor übernommen: Person oder Institution mit Sitz oder Vertretung in der Schweiz, die für die Veranlassung eines klinischen Versuchs, namentlich für dessen Einleitung, Management und Finanzierung in der Schweiz die Verantwortung übernimmt.
Quelle: Art. 2. KlinV";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=435
Studienplan;(study plan);Anlage einer Studie, die der Fragestellung soweit möglich gerecht werden sollte. Sollte vor Beginn jeder Studie schriftlich festgelegt werden.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.;"Anlage einer Studie, die der Fragestellung soweit möglich gerecht werden sollte. Sollte vor Beginn jeder Studie schriftlich festgelegt werden.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=436
Studienprotokoll;(study protocol);Dokument, in dem der Hintergrund und Hypothese sowie die Beschreibung der Studie, mit Zielsetzung, Design, Methode und der Studienablauf festgehalten ist.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Dokument, in dem der Hintergrund und Hypothese sowie die Beschreibung der Studie, mit Zielsetzung, Design, Methode und der Studienablauf festgehalten ist.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=437
Studienpunkt;(study point);Definition der Zielkriterien, anhand deren die Studie beurteilt wird. Man unterscheidet zwischen primären (Relevanten) und sekundären (Surrogatendpunkte) Endpunkten.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103. ;"Definition der Zielkriterien, anhand deren die Studie beurteilt wird. Man unterscheidet zwischen primären (Relevanten) und sekundären (Surrogatendpunkte) Endpunkten.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=438
Studienregister;(study register);Öffentlich zugängliche Datenbank zur Registrierung von Studien.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103. ;"Öffentlich zugängliche Datenbank zur Registrierung von Studien.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=439
Studienteilnehmer ;(study participant);Eine Person, die freiwillig und informiert an einer Studie teilnimmt. ;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Eine Person, die freiwillig und informiert an einer Studie teilnimmt. 
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=440
Studienzentrum;(study center);Der Ort, an dem die Studie durchgeführt wird, z.B. Spital, Altersheim, Praxis. ;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Der Ort, an dem die Studie durchgeführt wird, z.B. Spital, Altersheim, Praxis. 
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=441
Swissethics;Schweizerische Ethikkommissionen für die Forschung am Menschen;Schweizerische Ethikkommissionen für die Forschung am Menschen;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=5
Symptom;(symptom);Ein Symptom ist in der Medizin bzw. der Psychologie ein Zeichen, das auf eine Erkrankung oder Verletzung hinweist. Es kann durch einen Arzt bzw. Psychologen erfasst (Befund) oder auch vom Patienten selbst erfahren werden (Beschwerde). Die Gesamtheit der aus einem Krankheitsprozess resultierenden Symptome ergibt das klinische Bild, die Symptomatik, auch Klinik genannt. Symptome können in subjektive (durch den Betroffenen wahrnehmbare) und objektive (von außen wahrnehmbare) Krankheitszeichen unterteilt werden. Letztere werden auch klinische Zeichen genannt. (Typische) Kombinationen von Symptomen werden auch als Syndrom bezeichnet. ;Quelle: Wikipedia (2014). Online verfügbar unter http://de.wikipedia.org/wiki/Symptom, zuletzt geprüft am 18/03/2014.;"Ein Symptom ist in der Medizin bzw. der Psychologie ein Zeichen, das auf eine Erkrankung oder Verletzung hinweist. Es kann durch einen Arzt bzw. Psychologen erfasst (Befund) oder auch vom Patienten selbst erfahren werden (Beschwerde). Die Gesamtheit der aus einem Krankheitsprozess resultierenden Symptome ergibt das klinische Bild, die Symptomatik, auch Klinik genannt. Symptome können in subjektive (durch den Betroffenen wahrnehmbare) und objektive (von außen wahrnehmbare) Krankheitszeichen unterteilt werden. Letztere werden auch klinische Zeichen genannt. (Typische) Kombinationen von Symptomen werden auch als Syndrom bezeichnet. 
Quelle: Wikipedia (2014). Online verfügbar unter http://de.wikipedia.org/wiki/Symptom, zuletzt geprüft am 18/03/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=458
Synopsis;(synopsis);Zusammenfassung des Studienprotokolls. ;Quelle: Swissethics (2014).;"Zusammenfassung des Studienprotokolls. 
Quelle: Swissethics (2014).";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=459
Therapie;(treatment);Die Therapie bezeichnet in der Medizin, Zahnmedizin und Psychotherapie die Massnahmen zur Behandlung von Krankheiten und Verletzungen. Ziel des Therapeuten ist die Ermöglichung oder Beschleunigung einer Heilung, die Beseitigung oder Linderung der Symptome und die Wiederherstellung der körperlichen oder psychischen Funktion.;Quelle: Wikipedia (2014). Online verfügbar unter http://de.wikipedia.org/wiki/Therapie, zuletzt geprüft am 18/03/2014.;"Die Therapie bezeichnet in der Medizin, Zahnmedizin und Psychotherapie die Massnahmen zur Behandlung von Krankheiten und Verletzungen. Ziel des Therapeuten ist die Ermöglichung oder Beschleunigung einer Heilung, die Beseitigung oder Linderung der Symptome und die Wiederherstellung der körperlichen oder psychischen Funktion.
Quelle: Wikipedia (2014). Online verfügbar unter http://de.wikipedia.org/wiki/Therapie, zuletzt geprüft am 18/03/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=467
Totgeburt;(still birth);Juristisch: Nach Absatz 2 (Artikel 38 HFG) dürfen Föten aus Spontanaborten (Totgeburt) für ein Forschungsprojekt verwendet werden, nachdem deren Tod festgestellt worden ist. Die entsprechenden Todeskriterien, die kumulativ vorliegen müssen, ist das Fehlen von Herzschlag, Pulsation der Nabelschnur, Atmung und Bewegung. Damit soll verhindert werden, dass die Forschenden lebensverlängernde Massnahmen ergreifen, um den Fötus als Forschungsobjekt zu erhalten.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Nach Absatz 2 (Artikel 38 HFG) dürfen Föten aus Spontanaborten (Totgeburt) für ein Forschungsprojekt verwendet werden, nachdem deren Tod festgestellt worden ist. Die entsprechenden Todeskriterien, die kumulativ vorliegen müssen, ist das Fehlen von Herzschlag, Pulsation der Nabelschnur, Atmung und Bewegung. Damit soll verhindert werden, dass die Forschenden lebensverlängernde Massnahmen ergreifen, um den Fötus als Forschungsobjekt zu erhalten.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=468
Trend;(trend);1. Eine Langzeitveränderung in einer Datenfolge, z.B. in einer Zeitserie, welche in eine bestimmte Richtung geht.2. Wenn Zusammenhänge zwischen verschiedenen Stichproben oder Einzelgruppen von Daten gefunden werden, welche in eine bestimmte Richtung weisen, aber nicht statistisch signifikant sind.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.;"1. Eine Langzeitveränderung in einer Datenfolge, z.B. in einer Zeitserie, welche in eine bestimmte Richtung geht.2. Wenn Zusammenhänge zwischen verschiedenen Stichproben oder Einzelgruppen von Daten gefunden werden, welche in eine bestimmte Richtung weisen, aber nicht statistisch signifikant sind.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=470
Überwachung;(surveillance);Methode zur Überwachung im Gesundheitssystem durch Meldepflicht und ähnliche Aktivitäten.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.;"Methode zur Überwachung im Gesundheitssystem durch Meldepflicht und ähnliche Aktivitäten.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=455
unerwünschte Arzneimittelwirkung;(adverse drug reaction ADR);Unabhängig von der Anwendungsdosis, alle unbeabsichtigten, schädlichen bzw. unangenehmen Arzneimittelwirkungen.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Unabhängig von der Anwendungsdosis, alle unbeabsichtigten, schädlichen bzw. unangenehmen Arzneimittelwirkungen.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=2
unerwünschte Wirkung;(adverse reaction);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=4
unerwünschtes Ereignis;(adverse event AE);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=3
unmündige Personen;(incompetent persons);Juristisch: Person unter 18 Jahren, die nicht für mündig erklärt worden ist.;Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.;"Juristisch:
Person unter 18 Jahren, die nicht für mündig erklärt worden ist.
Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=483
Ursächlichkeit;(causality);Die Suche nach Krankheitsursachen ist eines der Hauptanliegen der Epidemiologie. Aussagen zur Kausalität unterliegen strengen Kriterien, die von Evans aufgestellt wurden.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.;"Die Suche nach Krankheitsursachen ist eines der Hauptanliegen der Epidemiologie. Aussagen zur Kausalität unterliegen strengen Kriterien, die von Evans aufgestellt wurden.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=484
Urteilsfähigkeit;(capacity for judgment);Juristisch: Urteilsfähig im Sinne der Schweizerischen Rechtsordnung ist ein jeder, dem nicht wegen seines Kindesalters oder infolge von Geisteskrankheit, Geistesschwäche, Trunkenheit oder ähnlichen Zuständen die Fähigkeit mangelt, vernunftgemäss zu handeln.;Quelle: Art. 16 ZGB;"Juristisch:
Urteilsfähig im Sinne der Schweizerischen Rechtsordnung ist ein jeder, dem nicht wegen seines Kindesalters oder infolge von Geisteskrankheit, Geistesschwäche, Trunkenheit oder ähnlichen Zuständen die Fähigkeit mangelt, vernunftgemäss zu handeln.
Quelle: Art. 16 ZGB";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=485
Validierung;(validation);Ein Prozess, in welchem die Validität einer Methode bestimmt wird. Interne Validität vergleicht die Methode in sich selbst. Externe Validität vergleicht eine Methode mit einer anderen.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.;"Ein Prozess, in welchem die Validität einer Methode bestimmt wird. Interne Validität vergleicht die Methode in sich selbst. Externe Validität vergleicht eine Methode mit einer anderen.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=487
Validität;(validity);Das Mass, in welchem eine Messmethode das misst, was sie zu messen beabsichtigt.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Das Mass, in welchem eine Messmethode das misst, was sie zu messen beabsichtigt.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=486
Verblindung;(blinding);Methode zur Vermeidung von Bias.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103. ;"Methode zur Vermeidung von Bias.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=488
Verfahrensvorschriften;(standard operating procedure);Detaillierte, schriftliche, standardisierte Arbeitsweisung für Personen oder Gruppen von Personen mit derselben Funktion (Sponsor, Monitor, Insitutional Review Board, Prüfer und Klinikpersonal). Diese Arbeitsweisungen müssen für alle Aktivitäten, die im Rahmen der klinischen Studie notwendig sind, erstellt werden.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013. Original source: ICH E6.;"Detaillierte, schriftliche, standardisierte Arbeitsweisung für Personen oder Gruppen von Personen mit derselben Funktion (Sponsor, Monitor, Insitutional Review Board, Prüfer und Klinikpersonal). Diese Arbeitsweisungen müssen für alle Aktivitäten, die im Rahmen der klinischen Studie notwendig sind, erstellt werden.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013. Original source: ICH E6.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=489
Verfassungsartikel über die Forschung am Menschen;(article of the Constitution dealing with research on human beings);"Juristisch: Mit dem vorliegenden Verfassungsartikel am Menschen werden drei Ziele verfolgt:– Schutz der Würde und Persönlichkeit des Menschen in der Forschung unter Berücksichtigung der Forschungsfreiheit und der Bedeutung der Forschung für Gesundheit und Gesellschaft;– Förderung der Qualität und Transparenz der Forschung am Menschen;– Schaffung einer Grundlage für eine einheitliche und umfassende Regelung der Forschung am Menschen in der Schweiz.";Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Mit dem vorliegenden Verfassungsartikel am Menschen werden drei Ziele verfolgt:– Schutz der Würde und Persönlichkeit des Menschen in der Forschung unter Berücksichtigung der Forschungsfreiheit und der Bedeutung der Forschung für Gesundheit und Gesellschaft;– Förderung der Qualität und Transparenz der Forschung am Menschen;– Schaffung einer Grundlage für eine einheitliche und umfassende Regelung der Forschung am Menschen in der Schweiz.

Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=490
Vergleich;(comparison);Aussagen in der Epidemiologie beruhen auf Vergleichen. Dabei ist zu beachten, dass das, was verglichen wird, wirklich vergleichbar ist. ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Aussagen in der Epidemiologie beruhen auf Vergleichen. Dabei ist zu beachten, dass das, was verglichen wird, wirklich vergleichbar ist. 
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=491
Vergleichsgruppe;(control group);Eine Untersuchungsgruppe, welche in allen wesentlichen Faktoren mit der Hauptuntersuchungsgruppe übereinstimmt, sich daher von ihr nur durch einen kontrollierten, in der Studie untersuchten Einfluss oder Faktor unterschiedet.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Eine Untersuchungsgruppe, welche in allen wesentlichen Faktoren mit der Hauptuntersuchungsgruppe übereinstimmt, sich daher von ihr nur durch einen kontrollierten, in der Studie untersuchten Einfluss oder Faktor unterschiedet.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=492
Vergleichspräparat;(comparator);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=54
Verordnung;(ordinance);Erlass auf der Stufe unterhalb von Verfassung und Gesetz, der die Verfassung oder das zugrunde liegende Gesetz näher ausführt und der wie ein Gesetz Rechtssätze enthält und deshalb veröffentlicht werden muss, der aber anders als das Gesetz nicht dem Referendum untersteht.;Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.;"Erlass auf der Stufe unterhalb von Verfassung und Gesetz, der die Verfassung oder das zugrunde liegende Gesetz näher ausführt und der wie ein Gesetz Rechtssätze enthält und deshalb veröffentlicht werden muss, der aber anders als das Gesetz nicht dem Referendum untersteht.
Quelle: Die Terminologie-Datenbank der Bundesverwaltung. Online verfügbar unter http://www.bk.admin.ch/themen/sprachen/00083/00854/index.html?lang=de, zuletzt geprüft am 28/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=493
